"filename", "language", "TypeScript", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\_nav.ts", "TypeScript", 50, 0, 0, 0, 0, 3, 53
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\_nav_temp.ts", "TypeScript", 272, 0, 0, 0, 0, 3, 275
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\app.component.css", "CSS", 0, 0, 0, 0, 7, 1, 8
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\app.component.spec.ts", "TypeScript", 41, 0, 0, 0, 1, 4, 46
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\app.component.ts", "TypeScript", 26, 0, 0, 0, 1, 4, 31
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\app.module.ts", "TypeScript", 113, 0, 0, 0, 7, 5, 125
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\app.routing.ts", "TypeScript", 124, 0, 0, 0, 3, 5, 132
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\base\base.component.ts", "TypeScript", 20, 0, 0, 0, 0, 5, 25
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\index.ts", "TypeScript", 7, 0, 0, 0, 0, 1, 8
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-detail\modal-detail.component.html", "HTML", 0, 378, 0, 0, 41, 1, 420
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-detail\modal-detail.component.ts", "TypeScript", 324, 0, 0, 0, 19, 34, 377
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-detail\modal-detail.module.ts", "TypeScript", 57, 0, 0, 0, 4, 2, 63
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-file\modal-file.component.html", "HTML", 0, 20, 0, 0, 0, 1, 21
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-file\modal-file.component.ts", "TypeScript", 46, 0, 0, 0, 0, 6, 52
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\modal-file\modal-file.module.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\nxp-autocomplete\nxp-autocomplete.component.html", "HTML", 0, 91, 0, 0, 0, 3, 94
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\nxp-autocomplete\nxp-autocomplete.component.ts", "TypeScript", 127, 0, 0, 0, 11, 12, 150
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\components\nxp-autocomplete\nxp-autocomplete.module.ts", "TypeScript", 20, 0, 0, 0, 0, 2, 22
